0, 0
0.0125, 0.04937500000000006
0.025, 0.09750000000000003
0.0375, 0.14437499999999992
0.05, 0.18999999999999995
0.0625, 0.234375
0.075, 0.2775000000000001
0.0875, 0.3193750000000001
0.1, 0.3599999999999999
0.1125, 0.3993749999999999
0.125, 0.4375
0.1375, 0.474375
0.15, 0.51
0.1625, 0.5443749999999999
0.175, 0.5774999999999999
0.1875, 0.609375
0.2, 0.64
0.2125, 0.669375
0.225, 0.6975
0.2375, 0.724375
0.25, 0.75
0.2625, 0.774375
0.275, 0.7975
0.2875, 0.819375
0.3, 0.84
0.3125, 0.859375
0.325, 0.8775000000000001
0.3375, 0.894375
0.35, 0.91
0.3625, 0.924375
0.375, 0.9375
0.3875, 0.949375
0.4, 0.96
0.4125, 0.969375
0.425, 0.9775
0.4375, 0.984375
0.45, 0.99
0.4625, 0.994375
0.475, 0.9975
0.4875, 0.999375
0.5, 1
0.5125, 0.999375
0.525, 0.9975
0.5375, 0.994375
0.55, 0.99
0.5625, 0.984375
0.575, 0.9775
0.5875, 0.969375
0.6, 0.96
0.6125, 0.949375
0.625, 0.9375
0.6375, 0.924375
0.65, 0.91
0.6625, 0.894375
0.675, 0.8775000000000001
0.6875, 0.859375
0.7, 0.84
0.7125, 0.819375
0.725, 0.7975
0.7375, 0.774375
0.75, 0.75
0.7625, 0.724375
0.775, 0.6975
0.7875, 0.669375
0.8, 0.64
0.8125, 0.609375
0.825, 0.5774999999999999
0.8375, 0.5443749999999999
0.85, 0.51
0.8625, 0.474375
0.875, 0.4375
0.8875, 0.3993749999999999
0.9, 0.3599999999999999
0.9125, 0.3193750000000001
0.925, 0.2775000000000001
0.9375, 0.234375
0.95, 0.18999999999999995
0.9625, 0.14437499999999992
0.975, 0.09750000000000003
0.9875, 0.04937500000000006
1, 0
